BIG_MESSAGE.EXTRACTION.ACTIVATED	Point d'extraction actif
BIG_MESSAGE.EXTRACTION.COMPLETED	Point d'extraction completé
FOCUS.EXTRACTION.FILL_VALUABLES	Remplissez le point d'extraction avec des objets de valeur
FOCUS.EXTRACTION.AVOID_GRENADES	Evitez les grenades !
FOCUS.EXTRACTION.FIND_NEXT	Trouvez le prochain point d'extraction
FOCUS.EXTRACTION.BACK_TO_TRUCK	Retourner au camion !
TUTORIAL.TRANSITION_TEXT	Bon travail!
TUTORIAL.MOVEMENT.TEXT	Utilise [move] pour te déplacer.
TUTORIAL.MOVEMENT.FOCUS_TEXT	Déplace toi pour remplir la barre !
TUTORIAL.MOVEMENT.DUMMY_TEXT	Utilise [move] jusqu'a que la barre soit rempli !
TUTORIAL.JUMPING.TEXT	Appuie sur [jump] pour sauter.
TUTORIAL.JUMPING.FOCUS_TEXT	Saute pour remplir la barre!
TUTORIAL.JUMPING.DUMMY_TEXT	Appuie sur [jump] jusqu'a que la barre soit rempli !
TUTORIAL.SNEAKING.TEXT	Appuie sur [crouch] pour t'accroupir. Les monstres ont moins de chance de te voir.
TUTORIAL.SNEAKING.FOCUS_TEXT	Accroupie toi pour remplir la barre !
TUTORIAL.SNEAKING.DUMMY_TEXT	Maintient [crouch] et utilise [move] jusqu'a que la barre soit rempli !
TUTORIAL.HIDING.TEXT	Utilise [crouch] pour t'accroupir en dessous des décorations et te cacher.
TUTORIAL.HIDING.FOCUS_TEXT	Cache toi pour remplir la barre !
TUTORIAL.HIDING.DUMMY_TEXT	Matient [crouch] et marche en dessous d'une decoration, reste y jusqu'a que tu remplis la barre de progression !
TUTORIAL.SPRINTING.TEXT	Matient [sprint] pour courrir. Ca consomme de l'energie.
TUTORIAL.SPRINTING.FOCUS_TEXT	Cours pour augmenter la barre de progresion !
TUTORIAL.SPRINTING.DUMMY_TEXT	Matient [sprint] et utilise [move] pour courrir jusqu'a que la barre de progresion soit plein ! Si tu est a court d'energie, attends que ca recharge !
TUTORIAL.TUMBLING.TEXT	Court et appuie sur [tumble] pour tomber avec style. Sauter peut aider !
TUTORIAL.TUMBLING.FOCUS_TEXT	Court, saute et tombe jusqu'a que tu remplis la barre de progresion !
TUTORIAL.TUMBLING.DUMMY_TEXT	Court avec [sprint], saute avec [jump] et appuie sur [tumble] te lancer toi-même. Fait le jusqu'a ce que tu remplis la barre de progresion !
TUTORIAL.GRABBING.TEXT	Attrape les objets avec [grab].
TUTORIAL.GRABBING.FOCUS_TEXT	Ramène ce truc jusqu'a que tu remplis la barre de progresion !
TUTORIAL.GRABBING.DUMMY_TEXT	Appuie et matient [grab] sur un objet jusqu'a ce que tu remplis la barre de progresion !
TUTORIAL.PUSHING_AND_PULLING.TEXT	Appuie sur [push] modifier la distance des objets attrapés.
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	Modifie la distance de l'objet que tu as attrapé !
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	Appuie et matient [grab] sur un objet et utilise [push] pour modifier la distance de l'objet attrapé !
TUTORIAL.ROTATING.TEXT	Tourne l'objet attrapé avec [grab2].
TUTORIAL.ROTATING.FOCUS_TEXT	Tourne l'objet pour remplir la barre de progression !
TUTORIAL.ROTATING.DUMMY_TEXT	Pendant que tu tiens un objet avec [grab], appuie et matient [grab2] et déplace ton curseur pour le tourner. Tourne jusqu'a ce que tu remplis la barre de progresion !
TUTORIAL.ITEM_TOGGLING.TEXT	Attrape et appuie sur [interact] pour intéragir avec l'item.
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	Intéragit avec ce dernier pour l'allumer et éteindre !
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	Attrape la balle avec [grab] et intéragit avec pour l'allumet et l'éteindre en utilisant [interact] remplis la barre de progresion !
TUTORIAL.INVENTORY_FILL.TEXT	Grab an Item and use [inventory1]/[inventory2]/[inventory3] to put it in your inventory.
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	Fill your entire inventory!
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	While holding an item with [grab], press [inventory1]/[inventory2]/[inventory3]. Fill all spots in your inventory to complete the progress bar!
TUTORIAL.INVENTORY_EMPTY.TEXT	Use [inventory1]/[inventory2]/[inventory3] to take items out of your inventory.
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	Empty your entire inventory!
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	Use [inventory1]/[inventory2]/[inventory3] and empty all spots to fill the progress bar!
TUTORIAL.MAP.TEXT	Use [map] to view the map. The map is <b><u>IMPORTANT</u></b> for navigation.
TUTORIAL.MAP.FOCUS_TEXT	Check the map!
TUTORIAL.MAP.DUMMY_TEXT	Hold down [map] and view it until you have filled the progress bar!
TUTORIAL.CART_HANDLING_1.TEXT	This is a C.A.R.T. Grab it by the handle.
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	Walk around with the C.A.R.T. a little!
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	Grab the C.A.R.T. by the handle with [grab] and walk around with it until you have filled the progress bar!
TUTORIAL.CART_HANDLING_2.TEXT	Fill C.A.R.T.s with valuables. C.A.R.T.s are <b><u>IMPORTANT</u></b> for carrying more stuff.
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	Fill the C.A.R.T. with valuables!
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	Put three items into the C.A.R.T.
TUTORIAL.EXTRACTION_POINTS.TEXT	Activate and fill <b><u>EXTRACTION POINTS</u></b> with valuables.
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	Extract the valuables!
