MAIN.PRIVATE_GAME	Partie Privé
MAIN.PUBLIC_GAME	Partie Public
MAIN.JOIN_FRIEND	Rejoindre un ami
MAIN.SINGLEPLAYER	Partie Solo
MAIN.TUTORIAL	Tutoriel
MAIN.SETTINGS	Paramètres
MAIN.QUIT_GAME	Quitter le jeu
POPUP.PRIVATE_GAME.HEADER	Héberger une partie
POPUP.PRIVATE_GAME.BODY	L'ami avec le meilleur pc\ndoit heberger.\n\nÊtes vous cette ami ?
POPUP.PRIVATE_GAME.OPT1	Haha oui !  :)
POPUP.PRIVATE_GAME.OPT2	Pas moi...  :'(
POPUP.PUBLIC_GAME.HEADER	Attention
POPUP.PUBLIC_GAME.BODY	Pendant que vous jouez avec d'autres joueur, vous pouvez tomber sur des tricheurs ou des méchants...
POPUP.PUBLIC_GAME.OPT1	Je comprends
POPUP.PUBLIC_GAME.OPT2	Non merci :(
POPUP.QUIT_GAME.HEADER	Quitter le jeu ?
POPUP.QUIT_GAME.BODY	Fermer entièrement l'application?
POPUP.QUIT_GAME.OPT1	Oui
POPUP.QUIT_GAME.OPT2	Non
POPUP.SELF_DESTRUCT.HEADER	Auto-destruction
POPUP.SELF_DESTRUCT.BODY	Es-ce vraiment le cas ?
POPUP.SELF_DESTRUCT.OPT1	C'est la fin pour moi
POPUP.SELF_DESTRUCT.OPT2	Non
SAVES.GO_BACK	< Retour
SAVES.NEW_GAME	Nouvelle partie
SAVES.SINGLEPLAYER_MODE	Mode Solitaire
SAVES.MULTIPLAYER_MODE	Mode Multijoueur
SAVES.HEADER	Parties sauvegardés
SAVES.PAGE_INFO.HEADER	Parties sauvegardés
SAVES.PAGE_INFO.DESCRIPTION	Ici est tout le fun et l'opportunité que vous avez de reprendre où vous vous êtes arreté
SAVES.SAVE_INFO.DELETE_SAVE	Supprimer la sauvegarde
SAVES.SAVE_INFO.LOAD_SAVE	Charger la sauvegarde
SAVES.SAVE_INFO.USE_BACKUP	Utiliser la backup
SAVES.SAVE_INFO.CURRENT_MOON	Lune actuelle:
POPUP.MAIN_MENU.OPT1	Oui
POPUP.MAIN_MENU.BODY	Quitter vers le menu principal?
POPUP.MAIN_MENU.HEADER	Menu principal
SAVES.SAVE_INFO.TOTAL_HAUL	Total des bénéfices:
POPUP.LOAD_SAVE.HEADER	Charger la sauvegarde
POPUP.LOAD_SAVE.BODY	Charger cette sauvegarde ?
POPUP.LOAD_SAVE.OPT1	Oui !
POPUP.LOAD_SAVE.OPT2	Non
POPUP.DELETE_SAVE.HEADER	Supprimer la sauvegarde
POPUP.DELETE_SAVE.BODY	Êtes vous VRAIMENT SUR de vouloir supprimer cette sauvegarde DÉFINITIVEMENT ?
POPUP.DELETE_SAVE.OPT1	Oui ! :')
POPUP.DELETE_SAVE.OPT2	Non ...
POPUP.USE_BACKUP.HEADER	Restaurer de la backup
POPUP.USE_BACKUP.BODY	Réecrire la sauvegarde avec la dernière backup?\n\nCela est irréversible !
POPUP.USE_BACKUP.OPT1	Oui !
POPUP.USE_BACKUP.OPT2	Non
REGIONS.HEADER	Regions
REGIONS.BACK	Retour
REGIONS.REGION.PICK_BEST_REGION	Choisir la meilleur Region
REGIONS.REGION.ASIA	Asie
REGIONS.REGION.AU	Australie
REGIONS.REGION.CAE	Canada de l'Est
REGIONS.REGION.CN	Continent Chinois
REGIONS.REGION.EU	Europe
REGIONS.REGION.HK	Hong Kong
REGIONS.REGION.IN	Inde
REGIONS.REGION.JP	Japon
REGIONS.REGION.ZA	Afrique du sud
REGIONS.REGION.SA	Amérique du sud
REGIONS.REGION.KR	Corée du sud
REGIONS.REGION.TR	Turquie
REGIONS.REGION.UAE	Émirats arabes unis
REGIONS.REGION.US	Amérique de l'Est
REGIONS.REGION.USW	Amérique de l'Ouest
REGIONS.REGION.USSC	Amérique du Sud Centrale
SAVES.SAVE_INFO.SORRY	Désolé !
SAVES.SAVE_INFO.PRESS_DELETE	Appuyer sur "Supprimer la sauvegarde"\n pour supprimer le dossier de sauvegarde.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   et   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Fichier de sauvegarde corrompu :(
SAVES.SAVE_FILE.UH_OH	Oh Oh !
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Fichier de sauvegarde corrompu :(
SAVES_RENAME.RENAME_SAVE	Renommer la sauvegarde
SAVES_RENAME.BACK	Retour
SAVES_RENAME.CONFIRM	Confirmé
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Appuyer pour renommer)
SETTINGS.HEADER	Paramètres
SETTINGS.GAMEPLAY	Gameplay
SETTINGS.GRAPHICS	Graphiques
SETTINGS.AUDIO	Audio
SETTINGS.CONTROLS	Contrôles
SETTINGS.LANGUAGE	Langue
SETTINGS.BACK	Retour
SETTINGS.BOOL.ON	On
SETTINGS.BOOL.OFF	Off
SETTINGS.BOOL.TOGGLE	Basculer
SETTINGS.BOOL.HOLD	Maintenir
SETTINGS.GAMEPLAY.HEADER	Gameplay
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Réinitialiser aux paramètres par défaut
SETTINGS.GAMEPLAY.TIPS	Aide
SETTINGS.GAMEPLAY.PLAYER_NAMES	Nom des joueurs
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Photosensibilité
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Arachnophobie
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Sensibilité a la visé
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Lissage de la caméra
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Tramblement de la caméra
SETTINGS.GAMEPLAY.CAMERA_NOISE	Bruit de la caméra
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Animation de la caméra
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Inverser la visé verticale
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Retirer automatiquement l'item équipé
SETTINGS.GAMEPLAY.RICH_PRESENCE	Intégration
SETTINGS.GAMEPLAY.COSMETICS	Cosmetiques
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Réinitialiser aux paramètres par défaut
SETTINGS.GRAPHICS.WINDOW_MODE	Mode fenêtré
SETTINGS.GRAPHICS.VSYNC	VSync 
SETTINGS.GRAPHICS.GAMMA	Luminosité
SETTINGS.GRAPHICS.MAX_FPS	FPS Max
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Distance de Lumière
SETTINGS.GRAPHICS.SHADOW_QUALITY	Qualité de l'ombre
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Distance de l'ombre
SETTINGS.GRAPHICS.MOTION_BLUR	Flou de mouvement
SETTINGS.GRAPHICS.LENS_DISTORTION	Distortion de l'objectif
SETTINGS.GRAPHICS.BLOOM	Bloom
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Aberration Chromatique
SETTINGS.GRAPHICS.GRAIN	Grain
SETTINGS.GRAPHICS.GLITCH_LOOP	Boucle de bug
SETTINGS.GRAPHICS.PIXELATION	Pixelisation
SETTINGS.AUDIO.HEADER	Son
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Réinitialiser les paramètres par défaut
SETTINGS.AUDIO.MASTER_VOLUME	Volume générale
SETTINGS.AUDIO.MUSIC_VOLUME	Son de la musique
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Proximity Voice Volume
SETTINGS.AUDIO.MICROPHONE	Microphone
SETTINGS.AUDIO.MICROPHONE_VOLUME	Volume du micro
SETTINGS.AUDIO.PUSH_TO_TALK	Appuyer pour parler
SETTINGS.CONTROLS.HEADER	Contrôles
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Réinitialiser les paramètres par défaut
SETTINGS.CONTROLS.MOVEMENT	Mouvement
SETTINGS.CONTROLS.MOVE_FORWARD	Avancer
SETTINGS.CONTROLS.MOVE_LEFT	Se déplacer vers la gauche
SETTINGS.CONTROLS.MOVE_BACK	Reculer
SETTINGS.CONTROLS.MOVE_RIGHT	Se déplacer vers la droite
SETTINGS.CONTROLS.JUMP	Sauter
SETTINGS.CONTROLS.CROUCH	S'accroupir
SETTINGS.CONTROLS.SPRINT	Sauter
SETTINGS.CONTROLS.TUMBLE	Mode tortue
SETTINGS.CONTROLS.GRABBING	Attraper
SETTINGS.CONTROLS.GRAB	Attraper
SETTINGS.CONTROLS.ROTATE	Tourner
SETTINGS.CONTROLS.PUSH	Pousser
SETTINGS.CONTROLS.PULL	Attirer
SETTINGS.CONTROLS.OTHER	Autre
SETTINGS.CONTROLS.MAP	Carte
SETTINGS.CONTROLS.INTERACT	Intéragir
SETTINGS.CONTROLS.INVENTORY_1	Inventaire 1
SETTINGS.CONTROLS.INVENTORY_2	Inventaire 2
SETTINGS.CONTROLS.INVENTORY_3	Inventaire 3
SETTINGS.CONTROLS.CHAT	Chat
SETTINGS.CONTROLS.CONFIRM	Confirmer
SETTINGS.CONTROLS.BACK	Retour
SETTINGS.CONTROLS.MENU	Menu
SETTINGS.CONTROLS.SPECTATE_NEXT	Regarder le suivant
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Regarder le précédent
SETTINGS.CONTROLS.PUSH_TO_TALK	Appuyer pour parler
SETTINGS.CONTROLS.TOGGLE_MUTE	Mute/Demute
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Expression des joueurs
SETTINGS.LANGUAGE.HEADER	Langue
COSMETICS.CATEGORY.PRESETS	Préréglages
COSMETICS.CATEGORY.HEAD	Tête
COSMETICS.CATEGORY.ARMS	Bras
COSMETICS.CATEGORY.BODY	Corps
COSMETICS.CATEGORY.LEGS	Jambes
COSMETICS.CONFIRM	Confirmer
COSMETICS.COLOR.HEADER	Choisir la couleur
COSMETICS.COLOR.CONFIRM	Confirmer
COSMETICS.PRESET.DELETE	Supprimer
COSMETICS.TYPE.HAT	Chapeau
COSMETICS.TYPE.ARM_RIGHT	Accessoire du bras droit
COSMETICS.TYPE.ARM_LEFT	Accessoire du bras gauche
COSMETICS.TYPE.LEG_RIGHT	Accessoire de la jambe droite
COSMETICS.TYPE.LEG_LEFT	Accessoire de la jambe gauche
COSMETICS.TYPE.HEAD_TOP_MESH	Haut de tête
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Bas de tête
COSMETICS.TYPE.BODY_TOP_MESH	Haut du corps
COSMETICS.TYPE.BODY_BOTTOM_MESH	Bas du corps
COSMETICS.TYPE.ARM_RIGHT_MESH	Bras droit
COSMETICS.TYPE.ARM_LEFT_MESH	Bras gauche
COSMETICS.TYPE.LEG_RIGHT_MESH	Jambe droite
COSMETICS.TYPE.LEG_LEFT_MESH	Jambe gauche
COSMETICS.TYPE.GRABBER_MESH	Grappin
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Paupière droite
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Paupière gauche
COSMETICS.TYPE.BODY_TOP_OVERLAY	Overlay du haut du corps
COSMETICS.TYPE.EARS	Oreilles
COSMETICS.TYPE.EYEWEAR	Lunettes
COSMETICS.TYPE.BODY_TOP	Costume du corps
COSMETICS.TYPE.BODY_BOTTOM	Costume des jambes
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Overlay du costume du corps
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Overlay pour le chapeau
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Overlay du Costume des jambes
POPUP.DELETE_PRESET.HEADER	Supprimer le préréglage
POPUP.DELETE_PRESET.BODY	Êtes vous VRAIMENT SUR de vouloir supprimer ce préréglace DÉFINITIVEMENT ?
POPUP.DELETE_PRESET.OPT1	Oui ! :')
POPUP.DELETE_PRESET.OPT2	Non ...
SETTINGS.CONTROLS.ANGRY	Colère
SETTINGS.CONTROLS.SAD	Triste
SETTINGS.CONTROLS.SUSPICIOUS	Suspicieux
SETTINGS.CONTROLS.EYES_CLOSED	Yeux fermés
SETTINGS.CONTROLS.SCARED	Peur
SETTINGS.CONTROLS.HAPPY	Content
POPUP.COSMETICS_COLOR_ALL.HEADER	Changer la couleur
POPUP.COSMETICS_COLOR_ALL.BODY	Cela va remplacer toutes les couleurs sur tout les corps et les cosmetiques.\n\nCela est Irreversible !
POPUP.COSMETICS_COLOR_ALL.OPT1	Oui ! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	Non ...
SETTINGS.AUDIO.SFX_VOLUME	Volume des effets sonore
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Volume du appuyer pour parler
SETTINGS.CAMERA_ANIMATION.OFF	Off
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Très bas
SETTINGS.CAMERA_ANIMATION.LOW	Bas
SETTINGS.CAMERA_ANIMATION.MEDIUM	Moyen
SETTINGS.CAMERA_ANIMATION.DEFAULT	Par défaut
SETTINGS.RICH_PRESENCE.OFF	Off
SETTINGS.RICH_PRESENCE.MINIMAL	Minimal
SETTINGS.RICH_PRESENCE.FULL	Complet
SETTINGS.WINDOW_MODE.WINDOWED	Fenêtré
SETTINGS.WINDOW_MODE.FULLSCREEN	Plein écran
SETTINGS.MAX_FPS.UNLIMITED	Illimité
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Très bas
SETTINGS.LIGHT_DISTANCE.LOW	Bas
SETTINGS.LIGHT_DISTANCE.MEDIUM	Moyen
SETTINGS.LIGHT_DISTANCE.HIGH	Haut
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Très Haut
SETTINGS.SHADOW_QUALITY.VERY_LOW	Très Bas
SETTINGS.SHADOW_QUALITY.LOW	Bas
SETTINGS.SHADOW_QUALITY.MEDIUM	Moyen
SETTINGS.SHADOW_QUALITY.HIGH	Haut
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Très Haut
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Très Bas
SETTINGS.SHADOW_DISTANCE.LOW	Bas
SETTINGS.SHADOW_DISTANCE.MEDIUM	Moyen
SETTINGS.SHADOW_DISTANCE.HIGH	Haut
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Très Haut
SETTINGS.RENDER_SIZE.SMALL	Petit
SETTINGS.RENDER_SIZE.MEDIUM	Moyen
SETTINGS.RENDER_SIZE.DEFAULT	Default
SETTINGS.MIC_DEVICE.NONE	None
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Réinitialiser les paramètres de Gameplay
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Réinitialiser les paramètres de gameplay par défaut?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Oui !
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	Non
SETTINGS.GRAPHICS.HEADER	Graphics
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Réinitialiser les paramètres Graphiques
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Réinitialiser les paramètres graphics par défaut?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Oui !
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	Non
POPUP.RESET_AUDIO_SETTINGS.HEADER	Réinitialiser les paramètres Audio
POPUP.RESET_AUDIO_SETTINGS.BODY	Réinitialiser les paramètres audio par défaut?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Oui !
POPUP.RESET_AUDIO_SETTINGS.OPT2	Non
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Réinitialiser les controles
POPUP.RESET_CONTROLS_SETTINGS.BODY	Réinitialiser les paramètres contrôles par défaut?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Oui !
POPUP.RESET_CONTROLS_SETTINGS.OPT2	Non
COSMETICS.TYPE.FOOT_RIGHT	Pied Droit
COSMETICS.TYPE.FOOT_LEFT	Pied Gauche
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Overlay du bras droit
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Overlay du bras Gauche
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Overlay de la jambe droite
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Overlay de la jambe gauche
PASSWORD.HEADER	Mot de passe
PASSWORD.SKIP	Passer
LOADING.LOADING	Chargement
LOADING.STUCK_PROMPT_TOP_TEXT	Bloauer dans le chargement ?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Appuyer sur [menu] pour quitter vers le menu principal
LOBBY.HEADER	Lobby
LOBBY.CHAT_PROMPT	Appuyer sur [chat] pour parler dans le chat
LOBBY.START_GAME	Démarrer la partie
LOBBY.INVITE	Inviter
LOBBY.SETTINGS	Paramètres
LOBBY.CUSTOMIZE	Customiser
LOBBY.LEAVE	Quitter
POPUP.START_GAME.HEADER	Démarrer la partie
